,leave,stay
0,45.447613,71.20257
1,82.30716,86.7661
2,52.072975,73.41783
3,86.58815,87.517975
4,55.824596,74.322556
5,87.248,86.19864
6,106.76787,99.86914
7,72.85417,71.99481
8,72.47778,102.14485
9,58.951668,60.55886
10,74.96207,103.69835
11,58.525875,59.92311
12,84.318634,105.758804
13,57.727737,58.575027
14,62.44413,101.79817
15,49.710785,51.480873
16,66.68105,102.54135
17,47.74536,49.17772
18,73.58057,103.58148
19,46.460636,47.397354
20,81.79407,105.14849
21,50.63332,51.022736
22,88.40253,106.509445
23,51.982254,52.20182
24,88.91791,105.510635
25,49.38127,49.602165
26,91.382065,105.94436
27,50.251358,50.204185
28,34.355625,84.171074
29,53.421967,55.146645
30,37.381683,86.12659
31,56.636337,57.345062
32,70.9252,93.37552
33,57.336052,56.45762
34,55.4437,65.58954
35,76.97341,75.22708
36,62.91711,63.985992
37,78.5482,76.91127
38,62.51949,64.09796
39,77.42241,75.754036
40,60.276657,62.96846
41,76.79581,75.1488
42,62.520874,65.19845
43,75.53815,73.69829
44,8.497829,16.402885
45,92.16846,91.18187
46,5.6614933,8.462801
47,89.8754,90.19473
48,45.447613,71.20257
49,82.30716,86.7661
50,46.376,70.75943
51,82.54443,85.37065
52,53.085793,72.96258
53,86.72149,86.140594
54,44.87752,73.10916
55,79.90075,80.23417
56,97.80878,105.10065
57,60.37816,60.435333
58,99.576904,105.21225
59,60.059544,59.954536
60,104.0795,106.241776
61,59.947758,59.21778
62,128.74236,119.89778
63,57.81656,56.52265
64,88.78501,117.21852
65,41.57912,42.196037
66,101.817535,117.459564
67,47.40452,48.48945
68,104.15639,118.15737
69,43.325134,43.715164
70,102.59349,118.66432
71,40.611706,40.640778
72,118.16948,122.721634
73,43.35243,42.820457
74,120.933014,122.10543
75,40.359486,40.125908
76,129.38737,123.389755
77,42.404266,42.531578
78,84.939804,119.86723
79,36.691387,35.928
80,104.78461,124.4479
81,56.33882,55.070496
82,107.134964,123.70071
83,54.925552,53.266785
84,110.36192,123.71945
85,54.249573,52.618324
86,130.09961,126.10887
87,56.553825,55.883064
88,107.16223,123.19421
89,21.757523,35.45279
90,86.09685,100.719055
91,17.72657,28.030712
92,89.9206,100.60362
93,26.479433,29.441843
94,96.35599,100.486916
95,31.154276,33.6288
96,98.97688,100.32692
97,31.321669,33.658134
98,100.926956,113.93556
99,14.859307,41.046944
100,45.447613,71.20257
101,82.30716,86.7661
102,52.072975,73.41783
103,86.58815,87.517975
104,53.326202,73.48413
105,86.754364,86.2663
106,101.84405,95.83776
107,75.434006,74.24328
108,67.83685,98.06395
109,63.321117,64.8857
110,71.39792,98.49801
111,62.99872,64.3969
112,74.57056,99.49015
113,64.36461,65.365425
114,75.18304,99.41866
115,60.418022,61.13694
116,82.58264,100.21001
117,59.990894,60.265266
118,87.775406,101.010574
119,62.64985,62.34478
120,90.15909,101.174965
121,57.895866,56.69451
122,93.338844,103.29781
123,60.485504,58.7015
124,93.8233,101.919876
125,60.044815,58.16897
126,100.49569,105.71542
127,57.905994,56.247818
128,118.64443,112.57005
129,52.886993,51.76763
130,78.609215,111.433685
131,42.199066,43.657394
132,80.65639,112.89518
133,41.47372,42.645126
134,72.688896,84.65227
135,53.22522,57.230537
136,79.68172,86.51173
137,48.276367,51.75692
138,86.30289,88.459465
139,45.019424,47.77829
140,86.80629,81.82654
141,59.44256,61.257576
142,92.17575,84.037994
143,58.036705,59.244194
144,83.273605,78.2477
145,66.38005,67.14496
146,56.55706,106.06055
147,32.01817,35.218727
148,66.51755,106.76311
149,33.582916,34.34906
150,73.46718,108.79169
151,35.126812,35.74437
152,81.73396,109.26105
153,34.095337,34.38221
154,82.04287,88.70784
155,24.800596,35.572044
156,84.05408,85.38612
157,18.266949,38.866165
158,55.32921,102.22038
159,13.624201,25.432577
160,59.714367,105.671616
161,43.623215,42.893005
162,74.75847,106.28186
163,40.530514,40.030754
164,86.99634,107.786285
165,38.170837,37.326614
166,94.82172,109.63475
167,38.726013,37.71012
168,64.908585,102.5707
169,7.224966,29.475447
170,45.447613,71.20257
171,82.30716,86.7661
172,46.319565,71.494774
173,86.06332,86.71569
174,54.650665,73.60574
175,89.08934,87.91554
176,87.535355,86.128586
177,77.42355,76.5605
178,89.07125,86.00076
179,77.75389,76.73744
180,96.31741,90.08884
181,76.865906,75.50925
182,59.304543,90.60137
183,68.21615,69.583
184,62.174324,90.73154
185,68.055466,69.26844
186,71.55565,92.78148
187,70.71442,71.34795
188,68.32132,92.718124
189,69.1442,69.66487
190,72.96449,93.476395
191,68.11603,68.21036
192,82.66593,93.83672
193,70.65715,70.355095
194,76.145935,82.97899
195,74.228035,73.06263
196,31.663048,54.80474
197,85.55088,85.41507
198,71.97086,98.05249
199,58.82319,58.63404
200,86.75365,102.37931
201,59.41388,58.581894
202,89.35686,102.92612
203,59.09387,57.722687
204,90.00438,102.341965
205,58.46643,56.837105
206,115.06935,110.99275
207,47.923653,46.98902
208,77.815994,111.540596
209,37.288933,37.95043
210,88.647446,115.24559
211,38.852047,39.037186
212,97.22855,116.11818
213,38.541058,38.460495
214,109.46051,118.49405
215,39.951077,39.801544
216,122.431175,120.708786
217,42.731693,42.644897
218,96.2482,118.08526
219,19.811155,33.10853
220,83.88368,119.313644
221,44.470856,43.224014
222,95.98468,119.89532
223,46.642532,45.406784
224,102.82228,119.836685
225,47.57535,46.125168
226,106.78163,119.887474
227,46.323463,44.64479
228,126.148506,121.98059
229,49.717815,48.522354
230,125.71263,121.59254
231,44.39428,43.425346
232,107.509766,113.3638
233,15.902846,42.26509
234,45.447613,71.20257
235,82.30716,86.7661
236,53.90923,73.29479
237,88.29559,87.45079
238,79.313156,83.847824
239,76.55933,76.24008
240,82.92804,84.395996
241,77.12218,76.32561
242,83.924644,84.36157
243,77.31553,76.40866
244,83.817245,83.58568
245,77.10718,76.11174
246,50.9833,82.84808
247,75.44794,76.35373
248,52.857224,81.944885
249,75.044655,75.88936
250,68.52812,85.03482
251,79.26788,79.22015
252,72.15446,87.05511
253,79.46146,79.17562
254,78.573586,88.53782
255,73.77169,72.97222
256,83.40954,90.25166
257,73.20341,72.20889
258,110.80059,107.54628
259,63.68844,61.93409
260,70.156395,104.6046
261,55.533943,56.799507
262,71.694016,104.54355
263,53.24943,54.34681
264,76.57589,105.05586
265,53.89022,54.930595
266,83.33239,106.0441
267,52.86206,53.47609
268,89.83581,109.30452
269,53.073475,53.043785
270,89.58725,111.36062
271,51.02645,50.696503
272,92.72186,111.25383
273,51.663734,50.689415
274,96.923485,111.240616
275,52.032104,50.777283
276,43.82475,90.63609
277,55.063263,56.61049
278,57.014984,94.20698
279,57.928505,58.74444
280,57.893368,94.35726
281,54.567696,55.132095
282,62.24614,94.69577
283,54.629166,55.091698
284,66.39732,94.807785
285,54.468475,54.77713
286,66.60506,94.691086
287,53.850784,53.926086
288,72.64058,95.63232
289,53.05265,52.578003
290,51.052376,77.60781
291,68.14366,67.4471
292,89.23331,97.768036
293,51.035374,49.509216
294,110.31352,102.52734
295,41.38403,42.223785
296,65.79245,105.30757
297,35.58479,36.02069
298,66.9423,104.122055
299,31.901806,32.714684
300,77.627594,106.28688
301,32.618477,32.483932
302,81.1225,106.52173
303,32.900475,32.50377
304,89.777725,109.30057
305,34.93947,34.16707
306,102.02928,110.73117
307,25.54496,32.084038
308,64.398476,106.86996
309,16.023266,28.927927
310,45.447613,71.20257
311,82.30716,86.7661
312,54.593834,74.080635
313,90.693924,89.2619
314,80.88978,85.266266
315,76.424774,75.945816
316,83.11094,84.720604
317,76.79244,75.96565
318,92.680626,93.683784
319,72.88555,71.4277
320,98.75859,93.499405
321,75.752975,73.72772
322,71.51127,98.79245
323,62.714325,64.24299
324,84.204346,102.51274
325,66.942474,67.44553
326,86.66187,103.128586
327,65.91431,65.99103
328,92.25252,102.81629
329,67.95979,67.68255
330,99.90988,103.81073
331,66.46043,64.58411
332,119.15932,113.19455
333,57.835503,56.4513
334,79.735825,108.858795
335,46.309464,47.801765
336,83.608154,108.83926
337,42.650833,43.872643
338,72.169464,106.27487
339,38.761436,40.349823
340,67.4965,79.114525
341,52.893543,60.31894
342,74.13032,80.103065
343,47.02758,51.070778
344,73.21864,77.482346
345,50.599495,54.572365
346,77.20803,77.98761
347,45.169357,48.98462
348,37.60088,46.404427
349,76.751465,78.93062
350,49.938927,101.62598
351,24.787338,30.683691
352,58.063103,100.64824
353,30.662212,31.269363
354,67.19006,101.05376
355,29.630735,29.907194
