Nothing,Left,Main,Right
71.91542,72.13332,70.71369,70.70866
72.33916,72.4146,71.04913,71.28484
72.7465,72.762405,71.45019,71.82142
73.23939,73.196236,71.95675,72.43773
73.0617,73.00612,71.85421,72.441536
73.400795,73.32477,72.283646,72.91771
74.25039,74.170944,73.25172,73.89604
76.23816,76.14877,75.41127,76.01957
78.67397,78.55016,78.008934,78.60406
80.898605,80.70525,80.35767,80.95937
84.38624,84.16954,83.79693,84.34866
87.50328,87.23067,86.8437,87.372246
90.27392,89.93306,89.531906,90.05109
92.61464,92.22177,91.89096,92.404724
94.94809,94.502495,94.24279,94.752716
97.33317,96.85413,96.65795,97.14965
99.76167,99.271774,99.12334,99.57864
96.75308,96.27028,96.19961,96.59013
99.15505,98.66939,98.63646,98.9868
101.55201,101.07128,101.071335,101.37499
103.930885,103.45495,103.48845,103.74526
106.195755,105.71309,105.80295,106.018364
108.3013,107.79606,107.98565,108.160736
105.92095,105.372734,105.6558,105.8613
104.03574,103.45903,103.823235,104.02954
106.16582,105.561584,106.034065,106.20385
108.37672,107.73999,108.32542,108.45734
107.73739,107.16376,107.80688,107.8745
106.57624,105.95381,106.693665,106.75596
105.95029,105.26806,106.120705,106.18593
104.885925,104.13727,105.10199,105.17115
103.32773,102.596405,103.57841,103.556564
101.004974,100.14993,101.27296,101.304115
100.50381,99.59781,100.82707,100.84466
100.936226,100.07863,101.32381,101.2282
97.50942,96.563126,97.87244,97.76627
96.664185,95.61449,97.08346,97.01535
93.90236,92.76121,94.315575,94.237595
91.51054,90.322754,91.916214,91.78169
90.694405,89.53946,91.1431,90.88701
89.35535,88.14258,89.83465,89.57442
87.185265,85.82863,87.64919,87.46269
87.0191,85.59676,87.52088,87.36248
83.78584,82.25663,84.28106,84.14497
80.68296,79.11569,81.16861,81.11229
80.53506,78.82105,81.08252,81.08455
83.64428,82.148476,84.236855,84.104904
81.13191,79.60849,81.71673,81.68709
78.321884,76.829094,78.84257,78.974655
76.75824,75.2254,77.19794,77.467995
75.20463,73.651276,75.61782,75.98046
73.113,71.47178,73.50181,74.03403
72.55869,70.862915,72.98165,73.67488
71.57633,69.76172,71.951324,72.818146
70.334435,68.425026,70.67749,71.673386
73.54125,71.772255,73.850105,74.7151
71.72981,69.87579,71.88003,72.998276
72.078514,70.172195,72.13276,73.413284
71.072556,69.14036,71.034515,72.4438
68.16424,66.2107,68.02653,69.57838
71.294014,69.63374,71.03889,72.45589
66.46425,64.83791,66.21431,67.64165
65.05461,63.552452,64.78403,66.16018
66.80608,65.53937,66.48684,67.78504
68.29563,67.10535,67.9827,69.22813
69.87123,68.73888,69.56565,70.74747
71.52991,70.45292,71.23165,72.34818
73.36973,72.345406,73.08056,74.13468
72.91508,71.902084,72.62966,73.65779
68.507744,67.46799,68.22645,69.30149
66.282135,65.29559,65.95997,67.12242
67.906624,66.95622,67.60709,68.68506
65.10135,64.17608,64.75434,65.93312
63.931717,63.033405,63.56867,64.773506
62.196533,61.339653,61.801624,63.05678
63.674797,62.809113,63.33367,64.500175
65.281906,64.40166,64.99391,66.079506
66.96037,66.069626,66.72303,67.73018
65.97921,65.069466,65.78112,66.78494
63.752098,62.91533,63.49222,64.555725
65.38595,64.55548,65.18525,66.15172
66.93595,66.09687,66.81086,67.68037
68.5358,67.68967,68.48595,69.253525
70.085464,69.22353,70.13021,70.78063
71.2028,70.31938,71.38621,71.895905
72.42739,71.5098,72.727356,73.11731
73.67353,72.720406,74.08747,74.356384
73.45427,72.59825,73.88929,74.07516
72.71013,72.003395,73.11517,73.241394
73.67556,72.951035,74.2214,74.19786
70.681725,70.014946,71.13704,71.20378
71.58143,71.30189,72.21286,71.86319
69.55537,69.439674,70.187874,69.79749
70.24836,70.14851,71.045235,70.468056
67.969475,67.8657,68.70272,68.199104
68.73658,68.646515,69.64146,68.935814
66.0682,65.97322,66.85169,66.28244
62.308533,62.440346,63.064095,62.45546
63.211594,63.396095,64.15184,63.329983
64.31452,64.511536,65.47287,64.34027
61.10437,61.62556,62.25756,60.999233
62.547436,63.072456,63.896244,62.276623
59.65491,60.079628,60.92586,59.403137
58.10047,58.505302,59.36022,57.796284
54.953136,55.498722,56.177834,54.577778
53.431442,54.14388,54.68823,52.912254
54.607117,55.3428,56.068913,53.93464
50.51432,51.371735,51.871357,49.78829
47.500877,48.58985,48.78973,46.639904
50.032978,50.68429,51.4459,49.205536
52.793465,52.956524,54.2331,52.005684
50.622074,50.961853,52.122585,49.807934
50.376198,50.786976,51.919556,49.408413
49.06921,49.59586,50.55804,48.04047
48.724983,49.293182,50.23777,47.51304
46.1249,46.761642,47.384197,45.209663
43.94294,44.62005,44.96879,43.0427
44.108734,44.817684,45.223885,43.12087
43.756077,44.50199,44.886192,42.66551
41.87489,42.6441,42.77499,40.79138
41.98426,42.86182,42.907543,40.74707
40.495888,41.37066,41.260517,39.301235
38.85886,39.62545,39.443703,37.62062
39.08978,39.984116,39.730114,37.803417
37.95372,38.725243,38.560295,36.638813
36.627262,37.3127,37.18329,35.296234
33.778355,34.294296,33.997032,32.49329
33.485165,34.10782,33.709965,32.144165
30.795624,31.23793,30.784737,29.525255
33.90303,34.01673,33.866287,32.600414
32.090935,32.28507,31.985273,30.79641
35.51223,35.38596,35.459663,34.17162
34.212914,34.099762,34.13432,32.90476
33.28315,33.204952,33.20163,31.987484
30.99443,30.881018,30.82402,29.882122
33.99318,33.694023,33.871754,32.70758
32.404335,32.088448,32.23409,31.243618
31.133518,30.80002,30.923035,30.04455
28.412868,27.990385,28.10644,27.488102
26.920717,26.328844,26.57168,26.423296
25.197487,24.474224,24.778805,24.993786
23.492361,23.14691,23.212105,22.990463
22.100616,21.647943,21.719856,21.863262
20.634508,20.49186,20.415245,20.140339
19.836683,19.681227,19.576267,19.381418
