Nothing,Left,Main,Right
38.89569,38.60375,38.953823,38.245056
60.51374,61.422535,59.555416,60.08958
58.56433,56.907585,58.88861,59.14318
8.093189,7.7618146,8.319382,8.146758
7.454621,-5.168059,-3.0830145,-0.6290128
98.55021,97.57233,97.73018,98.90426
40.695007,40.620487,40.789497,40.798622
128.82219,131.25842,130.97374,126.430725
57.22297,57.29787,56.6276,57.243877
86.997025,84.52003,87.59017,87.76304
29.484304,29.710787,30.591427,29.156193
33.16361,33.087242,32.916004,32.7158
69.72028,68.51299,69.14299,70.472084
99.20232,100.0872,99.44492,97.5109
9.56584,-2.9565952,-0.66034734,0.29621673
8.718581,-3.8656137,-1.7200388,0.044733297
42.90143,42.063583,42.78994,41.920116
40.858067,19.410603,24.724625,25.930952
61.72177,61.45011,61.680817,61.699375
92.12059,89.16567,93.191246,93.17149
2.926977,2.4444249,2.8193474,-2.88999
56.62736,56.14969,48.378544,53.106373
30.857813,31.758705,31.141762,29.96794
8.591313,-4.0078645,-1.8328446,-0.074627146
8.177212,8.083614,7.5259776,2.968911
62.980484,63.524406,63.457973,63.15533
28.431938,28.525578,28.948547,29.270908
6.6704335,-5.948817,-3.8478456,-1.3047545
8.899181,8.7168045,8.996066,8.957385
8.778376,7.859595,13.018216,7.11576
6.648566,6.6571527,6.4956527,6.4255347
78.065346,77.57843,77.86323,77.98234
48.805454,48.897354,49.064648,48.99643
-57.54696,-62.192627,-57.723194,-60.84829
99.92534,99.86198,99.8907,98.34527
58.505196,58.346466,58.39163,57.877914
14.759139,14.217325,15.045181,14.634766
46.83876,46.741394,48.00743,44.654316
62.046906,62.312225,62.641052,62.240845
71.1498,69.64097,70.874084,71.49561
9.001596,-3.581085,-1.4435595,0.20918919
63.00629,63.83814,63.52299,63.504257
76.42762,76.199265,76.31298,76.08946
77.48156,77.40291,78.08332,77.389175
-59.975037,-63.904175,-59.402813,-62.64817
10.647486,10.965374,10.612889,10.547215
69.116035,69.04826,69.4482,68.80551
7.305344,7.2958255,6.7252903,2.071244
58.46078,58.781918,58.88068,57.936615
78.954185,77.67732,79.497765,79.52665
0.9723679,-9.253582,-8.361872,-5.702536
97.20097,96.58886,96.26827,97.40527
98.44307,98.997475,98.643005,97.06205
1.3663489,1.2764143,0.9908811,1.3074906
33.425587,33.291348,33.51727,32.564884
109.75086,108.75092,109.8809,109.862015
22.39571,10.395368,10.490771,16.143068
10.267045,10.522012,10.677781,10.843525
-33.742287,-40.837055,-37.46966,-38.555737
4.4908943,4.462548,4.92682,-0.27844644
10.006226,-2.611286,-0.28707588,0.56805444
